"選択された条件"
"表示銘柄件数：356件"
""
"銘柄区分","銘柄コード","銘柄名","連動指標カテゴリ","連動指標","株価(円)","前日比(％)","売買代金(千円)","出来高","分配金利回り(％)","権利付最終日","信託報酬(％)","ファンド概要","信託報酬詳細"
"ETF","1305","ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）","日経平均・ＴＯＰＩＸ","TOPIX","2,880","1.07","1,984,256","692,400","2.09","2025/07/08","0.060","信託財産の１口当たりの純資産額の変動率をＴＯＰＩＸ（配当込み）の変動率に一致させることを目的として、対象指数に採用されている銘柄（採用予定を含む）の株式に対する投資として運用を行う。対象指数を構成する全銘柄の株式の時価総額構成比率の９５％以上を構成する銘柄の株式を組み入れることを原則とする。","-"
"ETF","1306","ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信","日経平均・ＴＯＰＩＸ","TOPIX","2,834","0.60","5,648,894","1,992,280","2.05","2025/07/08","0.088","ＴＯＰＩＸに採用されているまたは採用が決定された銘柄の株式のみに投資を行い、信託財産中に占める個別銘柄の株数の比率をＴＯＰＩＸにおける個別銘柄の時価総額構成比率から算出される株数の比率に相当する比率に維持することを目的とした運用を行い、ＴＯＰＩＸに連動する投資成果を目指して運用を行う。","-"
"ETF","1308","上場インデックスファンドＴＯＰＩＸ","日経平均・ＴＯＰＩＸ","TOPIX","2,801","0.54","378,702","135,107","2.05","2025/07/04","0.068","ＴＯＰＩＸに採用されている銘柄の株式に投資を行い、信託財産中に占める各銘柄の株数の比率をＴＯＰＩＸにおける個別銘柄の株数の構成比率に相当する比率に維持することを目的とした運用を行う。ＴＯＰＩＸに連動する投資成果を目指して運用を行う。","-"
"ETF","1320","ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）","日経平均・ＴＯＰＩＸ","日経225","39,740","0.10","675,085","16,957","1.57","2025/07/08","0.120","日経平均トータルリターン･インデックスに採用されている銘柄（採用予定を含む）の株式に対して投資を行う。信託財産の１口当たりの純資産額の変動率を日経平均トータルリターン･インデックスの変動率に一致させることを目的とし、対象指数を構成する全銘柄の株式を組入れることを原則とする。","-"
"ETF","1321","ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信","日経平均・ＴＯＰＩＸ","日経225","39,890","0.13","8,018,452","200,709","1.55","2025/07/04","0.101","日経２２５に採用されているまたは採用が決定された銘柄の株式のみに投資を行い、信託財産中に占める個別銘柄の株数の比率を日経２２５における個別銘柄の株数の比率に維持することを目的とした運用を行ない、日経２２５に連動する投資成果を目指して運用を行う。","-"
"ETF","1329","ｉシェアーズ・コア　日経２２５　ＥＴＦ","日経平均・ＴＯＰＩＸ","日経225","40,000","0.20","843,243","21,062","1.66","2025/02/05","0.045","主として日経平均トータルリターン･インデックスに採用されている銘柄の株式に投資し、日経平均トータルリターン･インデックスに高位に連動する投資成果を目指す。原則として、日経平均トータルリターン･インデックスにおける指数構成全銘柄の株式を組入れる。","-"
"ETF","1330","上場インデックスファンド２２５","日経平均・ＴＯＰＩＸ","日経225","39,930","0.08","412,578","10,326","1.59","2025/07/04","0.140","日経平均株価に採用されている銘柄の株式に投資を行い、信託財産中に占める各銘柄の株数の比率を日経平均株価における個別銘柄の株数の構成比率に維持することを目的とした運用を行い、日経平均株価の動きに連動する投資成果を目指す。","-"
"ETF","1346","ＭＡＸＩＳ　日経２２５上場投信","日経平均・ＴＯＰＩＸ","日経225","39,950","0.08","528,848","13,219","1.59","2025/01/14","0.120","当ファンドは、信託財産の１口当たりの純資産額の変動率を日経平均株価（日経２２５）の変動率に一致させることを目的として、日経平均株価（日経２２５）に採用されている銘柄（採用予定の銘柄を含む）の株式に対する投資として運用を行う。信託財産中に占める個別銘柄の株数の比率は、日経平均株価（日経２２５）における個別銘柄の株数の比率を維持することを原則とする。","-"
"ETF","1348","ＭＡＸＩＳ　トピックス上場投信","日経平均・ＴＯＰＩＸ","TOPIX","2,826","0.61","47,576","16,850","2.07","2025/01/14","0.060","信託財産の１口当たりの純資産額の変動率を東証株価指数（ＴＯＰＩＸ）の変動率に一致させることを目的として、東証株価指数（ＴＯＰＩＸ）に採用されている銘柄（採用予定の銘柄を含む）の株式に対する投資として運用を行う。信託財産中に占める個別銘柄の株数の比率は、東証株価指数（ＴＯＰＩＸ）における個別銘柄の株数の比率を維持することを原則とする。東証株価指数（ＴＯＰＩＸ）に連動する投資成果をめざす。","-"
"ETF","1369","Ｏｎｅ　ＥＴＦ　日経２２５","日経平均・ＴＯＰＩＸ","日経225","38,840","0.18","14,949","385","1.41","2025/01/06","0.155","当ファンドは、日経平均株価（日経２２５）に連動する投資成果をめざして運用を行う。信託財産の１口当たりの純資産額の変動率を日経２２５の変動率に一致させることを目的として、日経２２５に採用されている銘柄（採用予定の銘柄を含む。）の株式に対する投資として運用を行う。信託財産中に占める個別銘柄の株数の比率は、日経２２５における個別銘柄の株数の比率を維持することを原則とする。","-"
